,well_3,well_4,well_6,well_8,well_9,well_15,well_21,well_33,well_38,well_39,well_42,well_48,well_50,well_61,well_70,well_72,well_85,well_87,well_93,well_94,well_95,well_99,well_103,well_104,well_108,well_110,well_113,well_114,well_117,well_119,well_121,well_133,well_138,well_148,well_149,well_154,well_156,well_158,well_162,well_166,well_171,well_179,well_183,well_192,well_204,well_206,well_209,well_224,well_227,well_232,well_248,well_253,well_263,well_265,well_267,well_269,well_270,well_277,well_281,well_285,well_286,well_295,well_298,well_305,well_307,well_311,well_321,well_325,well_344,well_345,well_353,well_354,well_362,well_367,well_377,well_380,well_387,well_389,well_390,well_394,well_403,well_410,well_418,well_423,well_428,well_430,well_444,well_449,well_453,well_456,well_460,well_462,well_463,well_467,well_471,well_482,well_485,well_492,well_499
1991-03-18,635.296,377.48,46.99,85.22,42.74,286.5,424.5,156.44,86.37,457.87,5.92,78.41000000000001,389.502,66.92,-0.567,44.03,318.57,68.54,44.35,19.52,88.85,228.01,411.18,47.5,62.73,25.84,110.05,90.4,9.41,32.39,655.36,48.52,31.49,97.6,153.73,337.3,20.3,39.32,500.8358974580732,218.45,107.67,222.5,99.23,27.08,468.2,124.52,30.04,154.61,362.03,224.01,33.60205916519578,57.45,6.93,30.13,40.28,217.49,28.76,108.8,41.17,579.84,57.78,411.73,78.53,257.72,1.44,105.95,368.23,46.85,49.93,5.16,27.56,8.48,7.78,29.09,89.27,6.1,-0.53,21.85,83.54,35.04,351.94,39.65,492.1,69.73,31.88,265.025,335.53000000000003,83.52,33.37,364.27,177.20000000000002,176.15,28.77,108.29,579.44,76.98,11.9,311.0,44.36
1991-03-25,635.8071428571428,378.71,47.0,85.61,42.78,286.5,424.505,156.64,86.36,457.88,5.91,78.29,389.5,66.94,-0.637,44.06,318.81,68.55,44.38,19.51,88.87,227.98,411.17,47.49,62.71,25.83,110.15,90.39,9.47,32.4,655.37,48.5,31.51,97.66,153.83,337.45,20.31,39.34,501.06,218.78,107.67,222.52,99.31,27.13831641719406,468.305,124.63,30.08,154.63,361.9861923450553,224.01,33.61,57.47,6.98,30.150934399033936,40.3,217.51,28.82,108.79,41.19,579.78,57.77,411.96,78.53,257.94,1.43,105.93,368.27,46.83,49.91,5.05,27.6,8.54,7.78,29.05,89.27,6.11,-0.6,21.82,83.57,35.05,352.23,39.7,492.14,69.8,31.88,265.035,335.55,83.52,33.37,364.8,177.21,176.19,28.813159538353222,108.3,579.45,77.21,11.95,311.2,44.4
1991-04-01,635.58,378.16,47.0,85.34,42.79,286.77,424.454,156.5302115906166,86.41,457.93666666666667,5.86,78.16000000000001,389.4766666666667,66.91,-0.657,44.05,318.96,68.56,44.4,19.51,88.79949332574228,228.13,411.12,47.49,62.7,25.82,110.12,90.39,9.39,32.4,655.6057300689271,48.49,31.54,97.75378215385268,153.83,337.43,20.31,39.34,500.9062528223485,218.57,107.63,222.65,99.22512393238299,27.18,468.26,124.61522608275911,30.09,154.65,362.01,224.10048355134265,33.62,57.41,6.98,30.148367885198667,40.36,217.5,28.82,108.81,41.2,579.74,57.79,411.9158493156851,78.53,257.88,1.42,105.95444636080987,368.27,46.83,49.91,5.05,27.6,8.56,7.7,29.08,89.28999999999999,6.1,-0.6,21.83,83.6,35.08,352.0,39.66,492.65697373186566,69.87,31.89,265.005,335.45000000000005,83.56,33.36,364.36,177.18,176.03,28.8,108.23,579.45,77.05,11.89,311.97,44.35
1991-04-08,635.642,377.63,47.02,85.16,42.8,286.65,424.514,156.49,86.46,457.9837543268902,5.89,78.19000000000001,389.495,66.84,-0.707,44.05,318.98,68.57,44.38,19.5,88.91,228.09,411.08,47.48,62.68,25.81,110.08,90.39,9.4,32.41,655.45,48.47,31.55,97.68,153.78,337.31,20.27,39.36,500.88,218.52,107.6,222.57,99.27,27.15872407482591,468.2425,124.58,30.11,154.65,362.0398021328653,224.08,33.62997992300251,57.38,7.03,30.135549642314313,40.38,217.49,28.85,108.81,41.21,579.71,57.77,412.055,78.52,257.82,1.41,105.94,368.21,46.81,49.95,5.0,27.62,8.54,7.7,29.06,89.3,6.08,-0.63,21.82,83.52,35.05,351.95,39.73,492.185,69.74,31.89,264.97,335.40000000000003,83.48,33.35,364.23,177.18,176.0,28.799991029977786,108.08,579.45,76.96,11.84,310.14,44.31
1991-04-15,635.6139999999999,377.22,47.04,85.1,42.78,286.62,424.458,156.4,86.29,457.99,5.92,78.21000000000001,389.475,66.8,-0.677,44.02,318.93,68.58,44.39,19.48,88.54,227.9,411.04,47.49,62.65,25.8,110.06,90.38,9.35,32.43,655.5,48.47,31.58,97.6,153.75,337.23,20.24,39.38,500.81539096047436,218.49,107.59,222.5,99.07,27.31,468.23,124.5,30.11,154.65,362.0,224.09,33.62489340301019,57.33,6.98,30.12,40.39,217.48,28.94,108.79,41.22,579.69,57.74,412.08,78.52,257.78,1.41,105.93,368.2,46.79,49.93,4.96,27.64,8.53,7.69,29.04,89.30999999999999,6.08,-0.62,21.77,83.48,35.02,351.9,39.68,491.83,69.71,31.9,264.94,335.38,83.52,33.35,364.03,177.15,176.04,28.83,107.92,579.45,76.84,11.81,309.08,44.28
1991-04-22,635.455,378.4,47.05,85.07,42.77,286.44,424.4775,156.4,86.2,457.98333333333335,5.93,78.12,389.516,66.76,-0.697,44.0,318.95,68.59,44.39,19.48,88.52,227.94,410.98,47.49,62.63,25.81,110.04,90.38,9.3,32.43,655.46,48.48,31.58,97.54,153.78,337.22,20.24,39.39,500.78,218.46,107.57,222.47,99.02,27.190421037207226,468.19666666666666,124.46,30.08,154.61,362.0090955026101,224.07,33.63,57.31,7.03,30.122305597545306,40.4,217.48,28.95,108.77,41.23,579.7,57.72,411.95,78.52,257.75,1.39,105.92,368.13,46.77,49.93,4.93,27.68,8.5,7.8,29.04,89.30999999999999,6.06,-0.53,21.77,83.41,35.0,351.91,39.71,491.54,69.74,31.9,264.94,335.36,83.5,33.34,363.96,177.14,176.07,28.820325381641286,107.83,579.46,76.89,11.8,308.4,44.28
1991-04-29,635.4133333333333,378.32,47.0567191822476,85.0,42.767215619113124,286.4897246750184,424.45,156.39,86.24,457.99,5.921464180763422,77.99247505126446,389.485,66.73,-0.707,44.05226978095686,318.8544400085803,68.57856133189311,44.391544717869294,19.49,88.66,227.98891388662048,411.09715549756686,47.542836634126765,62.61,25.82,110.02,90.38,9.26,32.418178972674724,655.4,48.48534885667007,31.54502654161125,97.48,153.65251876069962,337.2,20.24988326040488,39.39375083615103,500.70399544538134,218.39655775690971,107.5525571891761,222.47741069497823,98.84,27.189732925839397,468.175,124.42,30.044945105296797,154.55,361.99,224.08,33.64013712930767,57.28,6.988435712301566,30.12,40.429589950456666,217.5186287047943,28.872519785559405,108.82565516326956,41.195706407971066,579.7390588221061,57.70184494630553,411.86,78.51728649355962,257.7440437307824,1.4150022137792213,105.89,368.0965169625448,46.77,49.95994392942586,5.12663353467228,27.72,8.516273639567558,7.743929526793394,29.05,89.28036616601023,6.072009030211888,-0.63,21.75,83.35,34.99123127720086,351.85,39.6988489437564,491.17,69.73839941360505,31.9,264.91333333333336,335.35100694319453,83.51072970275294,33.36017057500987,363.89,177.18931958297873,176.11586054665452,28.818540190302304,107.75,579.44,76.87,11.788795607850123,308.76994213630746,44.26
1991-05-06,635.7957142857142,377.32,47.07,84.97,42.78,286.2,424.43666666666667,156.36,86.24,458.03,5.93,77.99000000000001,389.48,66.69,-0.707,44.03,318.93,68.6,44.41,19.51,88.59,227.92,411.01,47.48,62.6,25.82,110.06,90.38,9.24,32.44,655.92,48.48,31.59,97.49,153.82,337.23,20.22,39.36,500.74,218.42,107.54,222.45,99.1,27.13,468.1775,124.46,30.05,154.54,362.01,224.0,33.62,57.27,6.98,30.107127327595187,40.42,217.43,28.96,108.77,41.23,579.73,57.7,411.84,78.52,257.72,1.4,105.88,368.01,46.76,49.95,4.97,27.8,8.49,7.73,29.08,89.24,6.09,-0.6,21.75,83.35,34.98,352.0,39.72,490.9,69.75,31.81,264.9266666666667,335.34000000000003,83.52,33.33,363.95,177.19,176.21,28.82,107.96,579.43,76.91,11.82,307.9,44.26
1991-05-13,636.1157142857143,377.51,47.09,84.95,42.76,286.04999999999995,424.422,156.41,86.19,458.185,5.91,77.93,389.4483333333333,66.67,-0.677,44.0,318.97,68.6,44.42,19.51,88.61,227.9,411.03,47.47,62.59,25.8,110.03,90.37,9.24,32.45,655.74,48.51,31.58,97.5,153.78,337.15,20.2,39.41,500.84273420389604,218.4,107.52,222.42,98.99,27.20307125963269,468.3775,124.51,30.03,154.51,362.01,223.91,33.63032963204254,57.24,6.98,30.085838107633197,40.47,217.475,28.94,108.76,41.22,579.7366666666667,57.68,412.42,78.52,257.68,1.38,105.87,367.89,46.75,49.98,5.0,27.87,8.51,7.7,29.06,89.24,6.12,-0.63,21.71,83.37,34.97,351.84,39.75,491.67,69.72,31.81,264.915,335.33000000000004,83.52,33.35,363.88,177.17000000000002,176.25,28.78188051859674,107.85,579.43,76.84,11.85,307.6,44.23
1991-05-20,636.1780000000001,378.04,47.09,84.8,42.77,285.94,424.4066666666667,156.42,86.18,458.35,5.92,77.81,389.4525,66.65,-0.647,44.03,318.84,68.6,44.45,19.52,88.60235855359912,227.85,411.06,47.46,62.58,25.78,110.13,90.37,9.21,32.46,655.61,48.5,31.55,97.73930029096687,153.8,337.05,20.21,39.45,500.92,218.38,107.5,222.4,98.99389708759298,27.26,468.41,124.59715496383882,30.02,154.47,362.015,223.86,33.66330729697123,57.22,6.88,30.09,40.52,217.56,28.92,108.79,41.2,579.895,57.67,412.3452965844728,78.54,257.65,1.41,105.85858261578288,367.8,46.73,50.0,5.13,27.88,8.47,7.72,29.03,89.25,6.12,-0.64,21.7,83.5,34.97,351.79,39.74,492.4324608099286,69.7,31.79,264.91,335.33000000000004,83.58,33.36,363.83,177.15,176.17,28.796854374378096,107.76,579.43,76.83,11.83,307.67,44.23
1991-05-27,636.14,377.75,47.1,84.69,42.76,285.67,424.3775,156.37,86.14,458.28,5.94,77.75,389.43,66.62,-0.657,44.1,319.3,68.6,44.44,19.51,88.635,227.88,411.14,47.45,62.58,25.45,110.06,90.37,9.17,32.47,655.48,48.48,31.55,97.71,153.77,337.03,20.18,39.48,500.92972228517147,218.35,107.47,222.37,98.825,27.225658040358788,468.28,124.54,30.01,154.41,362.015,223.79,33.67,57.2,6.9,30.07817740188806,40.55,217.6,28.88,108.77,41.19,580.1933333333333,57.65,412.61,78.55,257.6,1.42,105.845,367.73,46.71,50.01,5.12,27.88,8.44,7.66,28.96,89.25,6.07,-0.61,21.69,83.47,34.94,351.7,39.74,491.685,69.64,31.78,264.905,335.31,83.58,33.36,363.78,177.14,176.14,28.82,107.68,579.44,76.81,11.76,307.42,44.21
1991-06-03,636.0500000000001,377.28,47.1,84.54,42.74,285.35,424.39,156.34,86.11,458.1875,5.9,77.68,389.4625,66.6,-0.587,44.1,319.19,68.6,44.41,19.5,88.57,227.93,411.23,47.44,62.55,25.1,109.99,90.35,9.13,32.45,656.02,48.51,31.54,97.62,153.73,337.04,20.15,39.48,500.76,218.28,107.46,222.32,98.49,27.29,468.195,124.46,29.989999999999995,154.37,362.0634477808959,223.8,33.682935870900735,57.18,6.88,30.08,40.54,217.64,28.89,108.77,41.18,580.345,57.65,412.2,78.55,257.54999999999995,1.42,105.86,367.62,46.69,50.01,5.18,27.94,8.43,7.66,29.01,89.24,6.07,-0.61,21.65,83.46,34.91,351.65,39.73,491.83,69.79,31.77,264.90000000000003,335.23,83.57,33.38,363.74,177.14,176.2,28.804293384721905,107.63,579.45,76.79,11.73,307.35,44.19
1991-06-10,635.9566666666666,377.64,47.11,84.4,42.73,285.1,424.38714285714286,156.27,86.12,458.1175,5.89,77.63000000000001,389.45,66.58,-0.637,44.1,319.05,68.6,44.31,19.49,88.56,227.99,411.25,47.43,62.52,25.27,109.98,90.35,9.09,32.42,655.93,48.53,31.52,97.61,153.7,337.0,20.14,39.46,500.74233324020497,218.25,107.46,222.29,98.94,27.189897094246877,468.19666666666666,124.48,29.97,154.36,362.0779010720021,223.72,33.67135466410067,57.16,6.78,30.10058998170993,40.53,217.62,28.77,108.73,41.14,580.365,57.63,412.06,78.55,257.48999999999995,1.42,105.88,367.55,46.66,49.99,5.03,27.99,8.41,7.58,29.01,89.22999999999999,6.04,-0.62,21.63,83.45,34.91,351.8,39.7,491.43,69.73,31.74,264.8833333333333,335.20000000000005,83.51,33.39,363.74,177.14,176.155,28.83,107.6,579.43,76.77,11.73,307.32,44.2
1991-06-17,636.045,378.34,47.11,84.3,42.71,284.86,424.342,156.26,86.15,458.1033333333333,5.89,77.46000000000001,389.43285714285713,66.58,-0.617,44.07,318.93,68.6,44.3,19.48,88.61,227.48,411.22,47.41,62.51,25.35,109.99,90.35,9.08,32.4,655.79,48.55,31.5,97.64,153.64,336.93,20.13,39.44,500.68,218.23,107.45,222.27,98.82,27.21,468.28,124.49,29.95,154.35,362.015,223.68,33.695,57.15,6.78,30.1,40.53,217.5,28.72,108.73,41.11,580.315,57.6,411.91,78.56,257.4,1.39,105.86,367.47,46.63,49.97,4.96,28.03,8.41,7.56,29.0,89.22999999999999,6.01,-0.39,21.63,83.5,34.9,351.68,39.69,491.12,69.67,31.73,264.8833333333333,335.19,83.47,33.38,363.7,177.14,176.33,28.83553405886889,107.61,579.41,76.75,11.84,307.3,44.25
1991-06-24,636.3157142857143,378.49,47.09,84.24,42.72,284.57,424.338,156.28,86.19,458.29,5.91,77.34,389.435,66.54,-0.457,44.04,319.37,68.6,44.34,19.48,88.62,227.4,411.33,47.4,62.49,25.47,110.3,90.34,9.11,32.37,656.82,48.54,31.47,97.99,153.88,336.88,20.12,39.44,500.9860322819609,218.2,107.45,222.32,99.2,27.20664765690554,468.6139999999999,124.72,29.93,154.32,362.06,223.66,33.68425017675738,57.14,6.73,30.085618770222425,40.53,217.6,28.64,108.73,41.08,580.3566666666667,57.59,411.95,78.57,257.29,1.39,105.85,367.4,46.62,49.97,4.9,28.07,8.41,7.55,28.97,89.21,6.03,-0.21,21.63,83.52,34.88,351.7,39.69,492.23,69.63,31.73,264.9325,335.35,83.51,33.38,363.69,177.13,176.35,28.78,107.68,579.49,76.76,11.73,307.24,44.22
1991-07-01,636.0640000000001,378.25,47.09,84.22,42.71,284.35,424.358,156.29,86.23,458.325,5.94,77.42,389.43,66.66,-0.387,43.94,319.22,68.58,44.41,19.47,88.44,227.43,411.37,47.38,62.5,25.69,110.37,90.34,9.56,32.35,657.0,48.5,31.44,98.11,153.86,336.88,20.1,39.41,501.15,218.32,107.44,222.4,99.18,27.21,468.4166666666667,124.76,29.92,154.33,362.11,223.61,33.69911788635228,57.18,7.23,30.08171499031959,40.47,217.58,28.65,108.74,41.05,580.57,57.6,412.89,78.58,257.29,1.38,105.87,367.34,46.6,49.96,4.86,28.05,8.48,7.49,28.99,89.21,6.02,-0.31,21.68,84.38,34.88,351.62,39.69,492.15,69.58,31.72,264.92,335.54,83.53,33.39,363.72,177.12,176.38,28.78065698580438,107.76,579.53,76.81,11.83,307.3,44.38
1991-07-08,635.866,377.88,47.09,84.06,42.69,284.1,424.34,156.28,86.17,458.29,5.93,77.4,389.432,66.59,-0.497,43.96,319.01,68.57,44.38,19.49,88.23,227.75,411.41,47.38,62.46,25.56,110.2,90.33,9.49,32.34,656.86,48.46,31.43,98.03,153.72,336.83,20.07,39.38,500.9519288734818,218.25,107.43,222.37,98.3,27.229329161959033,468.335,124.54,29.9,154.33,362.13,223.56,33.716774040028426,57.15,7.28,30.09,40.4,217.55,28.59,108.72,41.11,580.69,57.56999999999999,412.84,78.59,257.29,1.33,105.85,367.21,46.59,49.93,4.91,28.14,8.4,7.44,28.96,89.19999999999999,5.96,-0.51,21.63,84.3,34.86,351.52,39.68,491.66,69.71,31.72,264.8833333333333,335.25,83.5,33.4,363.67,177.1,176.36,28.73,107.65,579.58,76.66,11.72,307.24,44.22
1991-07-15,636.024,377.58,47.08,83.98,42.67,283.86,424.326,156.16,86.16,458.175,5.9,77.38000000000001,389.425,66.58,-0.447,43.99,318.93,68.56,44.36,19.48,88.35,227.7,411.35,47.370000000000005,62.44,25.49,110.1,90.32,9.4,32.33,656.61,48.43,31.41,97.93,153.62,336.79,20.05,39.35,500.84,218.2,107.42,222.35,98.48,27.19,468.25666666666666,124.61,29.89,154.28,362.14,223.54,33.73,57.09,7.27,30.069405341889627,40.35,217.53,28.54,108.71,41.15,580.7,57.55,412.33,78.6,257.28,1.34,105.82,367.1,46.56,49.91,4.85,28.11,8.36,7.44,28.94,89.19,5.95,-0.52,21.58,83.94,34.84,351.44,39.65,491.33,69.68,31.7,264.86,335.20000000000005,83.46,33.41,363.74,177.09,176.23,28.745273263228295,107.62,579.6,76.65,11.69,307.29,44.17
1991-07-22,636.0942857142857,377.25,47.08,83.95,42.64,283.6,424.3233333333333,156.14,86.17,458.15,5.88,77.36,389.43,66.56,-0.467,43.84,318.87,68.55,44.32,19.45,88.45,227.6357151811801,411.24,47.370000000000005,62.42,25.5,110.07,90.32,9.34,32.32,656.38,48.4,31.39,97.89,153.49,336.73,20.0,39.31,500.8225734893327,218.15,107.41,222.32,98.67,27.17389643573756,468.26,124.58,29.879999999999995,154.27,362.1608045702747,223.47,33.70610342941038,57.06,7.19,30.06,40.29,217.52,28.45,108.69,41.19,580.63,57.54,412.19,78.59,257.28,1.36,105.84,367.05,46.52,49.89,5.07,28.08,8.31,7.43,28.91,89.19,5.93,-0.63,21.56,83.89,34.81,351.35,39.63,490.87,69.71,31.7,264.8566666666667,335.15000000000003,83.44,33.41,363.63,177.07000000000002,176.18,28.720584240950732,107.61,579.67,76.62,11.71,307.2,44.16
